Girvanella_sp.,Bacteria,Cyanobacteria,Cyanophyceae,Oscillatoriales,Not_specified,1,0.03,photoautotroph,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Ditiscus_sp.,Animalia,Arthropoda,Insecta,Coleoptera,Dytiscidae,3.5071,40,carnivore,aquatic|freshwater|riverbeds|submerged_vegetation|watercolumn|benthic|watersurface|air-water_interface|pleuston|freshwater                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Gyrinus_sp.,Animalia,Arthropoda,Insecta,Coleoptera,Gyrinidae,0.1259,10,carnivore,aquatic|freshwater|riverbeds|submerged_vegetation|watercolumn|benthic|watersurface|air-water_interface|pleuston|freshwater                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
Trachypachus_sp.,Animalia,Arthropoda,Insecta,Coleoptera,Trachypachidae,0.0045,2.5,herbivore|fungivore|plants|fungi,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Lucanus_sp.,Animalia,Arthropoda,Insecta,Coleoptera,Lucanidae,0.6645,20,fungi|plant-sap|fruit|herbivore|microorganism|wood,mountain|terrestrial|forest                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
Hydrophilus_sp.,Animalia,Arthropoda,Insecta,Coleoptera,Hydrophilidae,0.0369,6,herbivore,aquatic|freshwater|riverbeds|submerged_vegetation|watercolumn|benthic|freshwater|freshwater-lake|pond|well|terrestrial|grassland|river|waterfall                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
Nitidula_sp.,Animalia,Arthropoda,Insecta,Coleoptera,Nitidulidae,0.0592,7.3,herbivore|fungivore|plants|fungi,fluid-cline|well|terrestrial|forest                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Elater_sp.,Animalia,Arthropoda,Insecta,Coleoptera,Elateridae,0.014,4,herbivore|fungivore|plants|fungi,forest|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
Staphylinus_sp.,Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,0.195,12,herbivore|fungivore|plants|fungi,forest|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
Buprestis_sp.,Animalia,Arthropoda,Insecta,Coleoptera,Buprestidae,0.7904,21.5,herbivore|fungivore|plants|fungi|pollen|herbivore|seed|leaves|leaf|wood|root,mountain|woodland|terrestrial                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
Scarabeus_sp.,Animalia,Arthropoda,Insecta,Coleoptera,Scarabeidae,1.0292,24,herbivore|fungivore|plants|fungi,forest|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
Distenorrhinus_xavieri,Animalia,Arthropoda,Insecta,Coleoptera,Nemonychidae,0.0026,2,herbivore|fungivore|plants|fungi,forest|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
Byrrhus_sp.,Animalia,Arthropoda,Insecta,Coleoptera,Byrrhidae,0.0737,8,herbivore|fungivore|plants|fungi,forest|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
Ptilodactyla_sp.,Animalia,Arthropoda,Insecta,Coleoptera,Ptilodactylidae,0.007,3,herbivore|fungivore|plants|fungi,forest|terrestrial                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
Lonchidion_sp.,Animalia,Chordata,Elasmobranchii,Hybodontiformes,Lonchidiidae,3.5071,40, ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Amiopsis_woodwardii,Animalia,Chordata,Actinopterygii,Amiiformes,Amiidae,120.97,200, ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Vidalamia_catalunica,Animalia,Chordata,Actinopterygii,Amiiformes,Amiidae,347.1482,300, ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Lepidhoyas_microrhis,Animalia,Chordata,Actinopterygii,Semionotiformes,Semionotidae,67.7192,160, ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Hoyasotes_tanyrhis,Animalia,Chordata,Actinopterygii,Semionotiformes,Semionotidae,2104.7131,600, ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Notagogus_ferreri,Animalia,Chordata,Actinopterygii,Macrosemiiformes,Macrosemiidae,1.8423,40, ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Propterus_sp.,Animalia,Chordata,Actinopterygii,Macrosemiiformes,Macrosemiidae,0.872,30, ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Stenamara_mia,Animalia,Chordata,Actinopterygii,Pycnodontiformes,Pycnodontidae,8.8032,73, ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Turbomesodon_praeclarus,Animalia,Chordata,Actinopterygii,Pycnodontiformes,Pycnodontidae,43.5379,135, ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Gordichthys_conquensis,Animalia,Chordata,Actinopterygii,Gonorynchiformes,Chanidae,1.8423,40, ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Rubiesichthys_gregalis,Animalia,Chordata,Actinopterygii,Gonorynchiformes,Chanidae,3.291,50, ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Pleuropholis_sp.,Animalia,Chordata,Actinopterygii,Teleosteomorpha,Pleuropholidae,3.291,50, ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Holophagus_sp.,Animalia,Chordata,Sarcopterygii,Coelacanthiformes,Coealacanthidae,347.1482,300, ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Celtedens_ibericus,Animalia,Chordata,Amphibia,Allocaudata,Albanerpetonidae,5.6488,51, ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Gracilibatrachus_avallei,Animalia,Chordata,Amphibia,Anura,Not_specified,0.5611,23, ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Iberobatrachus_angelae,Animalia,Chordata,Amphibia,Anura,Not_specified,2.7924,40, ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Eodiscoglossus_sp.,Animalia,Chordata,Amphibia,Anura,Not_specified,1.8958,35, ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Hylaeobatrachus_croyii,Animalia,Chordata,Amphibia,Urodela,Not_specified,4.7381,48, ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Valdotriton_gracilis,Animalia,Chordata,Amphibia,Urodela,Not_specified,3.2168,42, ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Hoyasemis_jimenezi,Animalia,Chordata,Reptilia,Testudines,Not_specified,44.204,120, ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Paramacellodus_sp.,Animalia,Chordata,Reptilia,Squamata,Paramacellodidae,0.3011,24, ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Hoyalacerta_sanzi,Animalia,Chordata,Reptilia,Squamata,Not_specified,2.1133,45, ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Scandensia_ciervensis,Animalia,Chordata,Reptilia,Squamata,Not_specified,0.3417,25, ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Meyasaurus_diazromerali,Animalia,Chordata,Reptilia,Squamata,Teiidae,1.1519,37, ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Jucaraseps_grandipes,Animalia,Chordata,Reptilia,Squamata,Not_specified,0.6013,30,carnivore,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Montsecosuchus_depereti,Animalia,Chordata,Reptilia,Crocodylomorpha,Atoposauridae,3688.1331,500,carnivore,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Goniopholis_crassidens,Animalia,Chordata,Reptilia,Crocodylomorpha,Goniopholidae,271139.3125,2000,carnivore,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Unasuchus_sp.,Animalia,Chordata,Reptilia,Crocodylomorpha,Hylaeochampsidae,10466.5479,700,carnivore,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Ornithocheiroidea_indet.,Animalia,Chordata,Reptilia,Pterosauria,Ornitocheiroidea,10200,300, ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Azhdarchoidea_indet.,Animalia,Chordata,Reptilia,Pterosauria,Azhdarchoidea,1900,160, ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Europejara_olcadesorum,Animalia,Chordata,Reptilia,Pterosauria,Tapejaridae,3140,200, ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Mantellisaurus_atherfieldensis,Animalia,Chordata,Reptilia,Ornitischia,Hadrosauriformes,750000,700,herbivore,terrestrial                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
Pelecanimimus_polyodon,Animalia,Chordata,Reptilia,Saurischia,Ornithomimosauria,30000,250, ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Concavenator_corcovatus,Animalia,Chordata,Reptilia,Saurischia,Carcharodontosauridae,350000,550,carnivore,terrestrial                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
Concornis_lacustris,Animalia,Chordata,Aves,Enantiornithes,Avisauridae,70,34, ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Eoalulavis_hoyasi,Animalia,Chordata,Aves,Enantiornithes,Not_specified,45,26, ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Iberomesornis_romerali,Animalia,Chordata,Aves,Enantiornithes,Iberomesornithidae,25,20, ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Spinolestes_xenarthrosus,Animalia,Chordata,Mammalia,Eutriconodonta,Gobiconodontidae,70,240, ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
